ray_idx,hit_count,hit_ratio,rmse_hit,angle_mean_deg_hit,cos_mean_hit
0,476,0.05409090965986252,0.2824389338493347,57.705196380615234,0.4950246512889862
1,451,0.051249999552965164,0.26031532883644104,58.17082977294922,0.48850303888320923
2,481,0.05465909093618393,0.3248361051082611,55.342525482177734,0.5223124027252197
3,464,0.05272727087140083,0.3367723822593689,53.317378997802734,0.5534347891807556
4,362,0.04113636538386345,0.2694339156150818,55.88634490966797,0.5189558267593384
5,533,0.0605681836605072,0.29517385363578796,60.85331344604492,0.4529688060283661
6,474,0.053863637149333954,0.2888216972351074,60.610755920410156,0.4568508267402649
7,415,0.047159090638160706,0.30363890528678894,58.3421745300293,0.4898909330368042
8,493,0.056022725999355316,0.29311129450798035,61.08820343017578,0.4534592032432556
9,355,0.040340907871723175,0.23842434585094452,54.82743835449219,0.5331028699874878
10,589,0.0669318214058876,0.29071852564811707,62.59723663330078,0.43136149644851685
11,451,0.051249999552965164,0.3268974721431732,57.075531005859375,0.5055440664291382
12,331,0.0376136377453804,0.2596903443336487,59.22707748413086,0.4723071753978729
13,511,0.058068182319402695,0.28125253319740295,54.238800048828125,0.5413240790367126
14,455,0.05170454457402229,0.2780342698097229,58.101959228515625,0.4919416010379791
15,447,0.050795454531908035,0.28381937742233276,53.12266540527344,0.5617987513542175
16,476,0.05409090965986252,0.30924299359321594,58.134464263916016,0.49384215474128723
17,227,0.025795454159379005,0.3039851188659668,52.348236083984375,0.5660011768341064
18,631,0.07170454412698746,0.25894832611083984,58.57258987426758,0.482244610786438
19,453,0.05147727206349373,0.3141462206840515,62.326637268066406,0.4318130910396576
20,401,0.045568183064460754,0.27696922421455383,58.84524917602539,0.4814344346523285
21,505,0.057386364787817,0.29586261510849,56.93063735961914,0.5087130665779114
22,351,0.039886362850666046,0.2599606215953827,53.659461975097656,0.5415574908256531
23,628,0.07136363536119461,0.26438429951667786,63.02109909057617,0.4241107404232025
24,458,0.05204545333981514,0.38459309935569763,58.005584716796875,0.49145564436912537
25,204,0.023181818425655365,0.39050570130348206,56.56513214111328,0.49931442737579346
26,531,0.06034090742468834,0.27852609753608704,51.85901641845703,0.5720297694206238
27,496,0.05636363476514816,0.3097691833972931,60.74480056762695,0.45713308453559875
28,466,0.052954547107219696,0.26599061489105225,59.57492446899414,0.47245490550994873
29,496,0.05636363476514816,0.3267166316509247,59.629493713378906,0.46709683537483215
30,211,0.02397727221250534,0.2602993845939636,57.61703872680664,0.4892203211784363
31,672,0.07636363804340363,0.2610693871974945,55.681739807128906,0.5274401903152466
32,418,0.04749999940395355,0.3641509711742401,60.553375244140625,0.45317092537879944
33,294,0.03340909257531166,0.2331254780292511,60.95441436767578,0.4419877827167511
34,551,0.06261363625526428,0.27906540036201477,61.50859069824219,0.4431097209453583
35,433,0.049204546958208084,0.28590625524520874,57.675376892089844,0.4984022378921509
36,639,0.07261363416910172,0.2692219614982605,55.7430305480957,0.5224813222885132
37,482,0.05477272719144821,0.34193578362464905,57.48952865600586,0.49281045794487
38,206,0.02340909093618393,0.26040688157081604,60.18846893310547,0.45699504017829895
39,629,0.07147727161645889,0.31285443902015686,58.56052017211914,0.48129719495773315
40,436,0.04954545572400093,0.34961143136024475,59.28282165527344,0.47577300667762756
41,477,0.0542045459151268,0.25668084621429443,58.702239990234375,0.48219215869903564
42,525,0.059659089893102646,0.32986927032470703,56.4464225769043,0.5143733620643616
43,214,0.024318180978298187,0.36794397234916687,57.640220642089844,0.4935503900051117
44,717,0.08147726953029633,0.2868824899196625,59.273170471191406,0.4770244061946869
45,458,0.05204545333981514,0.3851018249988556,55.847591400146484,0.5290536284446716
46,212,0.024090908467769623,0.2713477611541748,54.415321350097656,0.5465971231460571
47,569,0.06465908885002136,0.3104153871536255,56.1477165222168,0.515358567237854
48,471,0.05352272838354111,0.3264467120170593,58.62431716918945,0.4874587953090668
49,597,0.06784091144800186,0.27475234866142273,57.59538650512695,0.4979571998119354
50,497,0.056477271020412445,0.3534134328365326,58.7431755065918,0.48274537920951843
51,212,0.024090908467769623,0.4995332658290863,59.55312728881836,0.4686824083328247
52,722,0.08204545825719833,0.2652653455734253,61.78108215332031,0.44331246614456177
53,400,0.04545454680919647,0.3733154535293579,61.167518615722656,0.4480459690093994
54,387,0.043977271765470505,0.29491525888442993,52.30251693725586,0.5580366253852844
55,563,0.06397727131843567,0.3209519684314728,57.64043045043945,0.4999549984931946
56,227,0.025795454159379005,0.30481603741645813,50.04536819458008,0.594386875629425
57,693,0.07874999940395355,0.2994416058063507,54.6142692565918,0.5346477031707764
58,457,0.05193181708455086,0.30458348989486694,59.288734436035156,0.4745972454547882
59,207,0.02352272719144821,0.20161424577236176,56.952720642089844,0.5063875317573547
60,653,0.07420454174280167,0.3020557761192322,57.364784240722656,0.5002533197402954
61,417,0.04738636314868927,0.34447619318962097,52.87799835205078,0.5582192540168762
62,560,0.06363636255264282,0.2560974657535553,54.56395721435547,0.5414199233055115
63,525,0.059659089893102646,0.272555410861969,58.104896545410156,0.4875698685646057
64,221,0.025113636627793312,0.2993090748786926,60.13626480102539,0.46229684352874756
65,760,0.08636363595724106,0.28687912225723267,57.626583099365234,0.5007092952728271
66,444,0.05045454576611519,0.3857916593551636,58.71602249145508,0.4825887978076935
67,222,0.025227272883057594,0.2737535238265991,54.08232879638672,0.5442770719528198
68,614,0.06977272778749466,0.29910868406295776,56.88486099243164,0.5112531781196594
69,482,0.05477272719144821,0.29865849018096924,54.397972106933594,0.5394878387451172
70,671,0.07625000178813934,0.2675108015537262,54.68498611450195,0.535764753818512
71,489,0.05556818097829819,0.31132158637046814,57.54377746582031,0.4940807521343231
72,216,0.0245454553514719,0.3234389126300812,57.309791564941406,0.49087390303611755
73,674,0.07659091055393219,0.2863771319389343,55.05894088745117,0.5240517258644104
74,410,0.046590909361839294,0.32315778732299805,58.45454788208008,0.48833659291267395
75,470,0.053409092128276825,0.2603895664215088,59.021907806396484,0.47920358180999756
76,556,0.0631818175315857,0.3093596398830414,54.1043586730957,0.5420172214508057
77,225,0.02556818164885044,0.3355104923248291,55.27825164794922,0.5257687568664551
78,777,0.08829545229673386,0.2818607985973358,54.18291473388672,0.5399990677833557
79,460,0.052272725850343704,0.35228902101516724,53.97769546508789,0.5405762195587158
80,224,0.02545454539358616,0.3944838047027588,58.451717376708984,0.48153823614120483
81,636,0.07227272540330887,0.3102906346321106,55.776092529296875,0.5221336483955383
82,459,0.05215908959507942,0.3104177415370941,59.62165451049805,0.47818824648857117
83,675,0.07670454680919647,0.2609413266181946,58.231815338134766,0.48475566506385803
84,561,0.0637499988079071,0.3867916762828827,58.65085983276367,0.48329147696495056
85,231,0.026249999180436134,0.2473675161600113,58.78826904296875,0.4811496436595917
86,808,0.0918181836605072,0.3072827458381653,56.983795166015625,0.5052397847175598
87,427,0.04852272570133209,0.3651999533176422,56.51395034790039,0.5088194608688354
88,237,0.026931818574666977,0.23065300285816193,56.86569595336914,0.5053524971008301
89,605,0.06875000149011612,0.3120117783546448,57.03999710083008,0.5022678375244141
90,443,0.050340909510850906,0.30150020122528076,53.131961822509766,0.549240231513977
91,756,0.08590909093618393,0.3130342960357666,59.882957458496094,0.4719727635383606
92,465,0.052840910851955414,0.35486865043640137,60.258338928222656,0.45984947681427
93,231,0.026249999180436134,0.2138221263885498,56.170833587646484,0.5024909973144531
94,669,0.07602272927761078,0.30074575543403625,61.86378860473633,0.4411141276359558
95,414,0.04704545438289642,0.34918490052223206,57.06338119506836,0.5033443570137024
96,649,0.07374999672174454,0.2551610767841339,58.8764762878418,0.47470030188560486
97,548,0.062272727489471436,0.32283347845077515,57.03464889526367,0.5042856335639954
98,234,0.02659090980887413,0.24203291535377502,57.78696060180664,0.49309200048446655
99,831,0.0944318175315857,0.2975824177265167,59.59153747558594,0.47096195816993713
100,465,0.052840910851955414,0.340481698513031,65.41706848144531,0.3882726728916168
101,240,0.027272727340459824,0.2557305097579956,60.71272659301758,0.4494268298149109
102,578,0.0656818151473999,0.2489975541830063,58.985572814941406,0.475130170583725
103,476,0.05409090965986252,0.29823386669158936,63.53675079345703,0.420929491519928
104,686,0.07795454561710358,0.27379968762397766,53.87102508544922,0.5440363883972168
105,523,0.05943181738257408,0.3424833118915558,55.738075256347656,0.5201241374015808
106,243,0.02761363610625267,0.3989505171775818,59.078857421875,0.4772208333015442
107,728,0.08272727578878403,0.2957821488380432,61.085147857666016,0.44827941060066223
108,442,0.050227273255586624,0.3336537480354309,56.041603088378906,0.5178747177124023
