sample_idx,hit_count,hit_ratio,rmse_hit,angle_mean_deg_hit,cos_mean_hit
0,97,0.04736328125,0.3527848422527313,56.23865509033203,0.5107448697090149
1,88,0.04296875,0.3251551687717438,58.02595520019531,0.48790785670280457
2,92,0.044921875,0.3333520293235779,58.2080192565918,0.48661190271377563
3,107,0.05224609375,0.3448891341686249,56.664737701416016,0.5053989887237549
4,118,0.0576171875,0.34201470017433167,55.835052490234375,0.5231819748878479
5,135,0.06591796875,0.37359461188316345,55.49614334106445,0.5199400186538696
6,158,0.0771484375,0.3623269200325012,52.77661895751953,0.5629060864448547
7,147,0.07177734375,0.3484214246273041,58.56865310668945,0.4861864447593689
8,157,0.07666015625,0.3559302091598511,58.59021759033203,0.48627617955207825
9,164,0.080078125,0.36357519030570984,57.09673309326172,0.504505455493927
10,178,0.0869140625,0.35121241211891174,58.534481048583984,0.4860557019710541
11,206,0.1005859375,0.3354659378528595,57.83430099487305,0.4946622848510742
12,185,0.09033203125,0.33477383852005005,56.98006820678711,0.5090832114219666
13,192,0.09375,0.33146724104881287,56.82911682128906,0.5099926590919495
14,261,0.12744140625,0.29057222604751587,58.134742736816406,0.49135416746139526
15,340,0.166015625,0.2656373083591461,56.83202362060547,0.5072242617607117
16,337,0.16455078125,0.25476306676864624,56.995201110839844,0.5045532584190369
17,290,0.1416015625,0.3018391728401184,56.51280975341797,0.5098226070404053
18,262,0.1279296875,0.2795163691043854,57.24848937988281,0.5021077990531921
19,254,0.1240234375,0.26439329981803894,56.722007751464844,0.506937563419342
20,220,0.107421875,0.3008972108364105,56.873416900634766,0.504664421081543
21,227,0.11083984375,0.2581992447376251,55.65047836303711,0.5169642567634583
22,226,0.1103515625,0.2483041137456894,56.332496643066406,0.5085187554359436
23,233,0.11376953125,0.2294338047504425,59.86796569824219,0.4641173481941223
24,249,0.12158203125,0.2240343540906906,57.58033752441406,0.498711496591568
25,241,0.11767578125,0.22704680263996124,57.837162017822266,0.49331024289131165
26,273,0.13330078125,0.2054498791694641,59.54495620727539,0.47187888622283936
27,277,0.13525390625,0.20259703695774078,59.476959228515625,0.4700849950313568
28,349,0.17041015625,0.18566539883613586,58.72252655029297,0.47920656204223633
29,403,0.19677734375,0.19569449126720428,56.62300491333008,0.5058474540710449
30,366,0.1787109375,0.19973020255565643,55.25481414794922,0.5262980461120605
31,329,0.16064453125,0.20050841569900513,53.4830207824707,0.5490658283233643
32,318,0.1552734375,0.21385890245437622,55.16551971435547,0.5289281606674194
33,254,0.1240234375,0.23271997272968292,55.72646713256836,0.5233251452445984
34,273,0.13330078125,0.2570822834968567,56.027610778808594,0.5205711126327515
35,289,0.14111328125,0.22165758907794952,54.36137008666992,0.539324164390564
36,257,0.12548828125,0.24378012120723724,58.83683395385742,0.4810069501399994
37,278,0.1357421875,0.2401687204837799,57.5499382019043,0.49789682030677795
38,259,0.12646484375,0.2345559000968933,58.67668533325195,0.48225143551826477
39,310,0.1513671875,0.22381320595741272,58.6790885925293,0.4814165234565735
40,320,0.15625,0.33318743109703064,55.51716232299805,0.5206663012504578
41,270,0.1318359375,0.351895272731781,56.49351501464844,0.5072699189186096
42,209,0.10205078125,0.36540478467941284,55.384498596191406,0.5241850018501282
