ray_idx,hit_count,hit_ratio,rmse_hit,angle_mean_deg_hit,cos_mean_hit
0,474,0.053863637149333954,0.34561261534690857,56.02923583984375,0.5206292867660522
1,446,0.05068181827664375,0.3535842299461365,61.09254837036133,0.4507858455181122
2,509,0.05784090980887413,0.29803499579429626,63.81367492675781,0.4087590277194977
3,465,0.052840910851955414,0.3029632866382599,56.14847946166992,0.5137023329734802
4,334,0.03795454651117325,0.24477675557136536,57.93673324584961,0.49149203300476074
5,550,0.0625,0.33792856335639954,59.659019470214844,0.4704757332801819
6,479,0.054431818425655365,0.3263770043849945,61.14822006225586,0.4466969668865204
7,419,0.047613635659217834,0.3702045679092407,57.13480758666992,0.49643945693969727
8,489,0.05556818097829819,0.4125335216522217,55.37049102783203,0.523350715637207
9,267,0.030340909957885742,0.29310184717178345,58.41676712036133,0.4861895442008972
10,622,0.07068181782960892,0.2854749858379364,55.46483612060547,0.5210292339324951
11,435,0.04943181946873665,0.3451400399208069,57.27510452270508,0.5057517290115356
12,240,0.027272727340459824,0.29852283000946045,56.752925872802734,0.5154226422309875
13,536,0.06090909242630005,0.38530951738357544,60.824668884277344,0.4512220621109009
14,466,0.052954547107219696,0.334143728017807,57.72642517089844,0.4904092252254486
15,527,0.05988636240363121,0.26481443643569946,56.635379791259766,0.5077905058860779
16,481,0.05465909093618393,0.38587021827697754,55.638587951660156,0.5174630880355835
17,206,0.02340909093618393,0.26253601908683777,59.806095123291016,0.4646586775779724
18,677,0.07693181931972504,0.29266130924224854,56.69437789916992,0.5136958360671997
19,414,0.04704545438289642,0.3853060007095337,56.82411193847656,0.5063691139221191
20,435,0.04943181946873665,0.29536375403404236,53.51088333129883,0.5435726046562195
21,551,0.06261363625526428,0.3948909342288971,54.752986907958984,0.5299888849258423
22,221,0.025113636627793312,0.29030343890190125,58.8580322265625,0.48435086011886597
23,675,0.07670454680919647,0.3387005627155304,56.515525817871094,0.5181904435157776
24,461,0.052386362105607986,0.3336696922779083,56.13413619995117,0.5172715783119202
25,211,0.02397727221250534,0.24299177527427673,63.55180358886719,0.4230371415615082
26,598,0.06795454770326614,0.29415661096572876,53.70058059692383,0.5394583940505981
27,445,0.05056818202137947,0.31081661581993103,54.529396057128906,0.5241615176200867
28,594,0.06750000268220901,0.3242623805999756,59.10179138183594,0.47541800141334534
29,506,0.057500001043081284,0.32900288701057434,53.0340690612793,0.551582396030426
30,221,0.025113636627793312,0.2941139042377472,63.10599136352539,0.42211371660232544
31,749,0.08511363714933395,0.28623121976852417,58.95393753051758,0.4769512116909027
32,433,0.049204546958208084,0.38775938749313354,60.70861053466797,0.4542539715766907
33,229,0.02602272666990757,0.29428672790527344,56.998756408691406,0.5078224539756775
34,611,0.06943181902170181,0.3183877170085907,58.87633514404297,0.47664570808410645
35,461,0.052386362105607986,0.33831408619880676,59.60969161987305,0.458551824092865
36,680,0.07727272808551788,0.2889038026332855,57.513641357421875,0.49850162863731384
37,467,0.05306818336248398,0.37814095616340637,58.71173095703125,0.4814581573009491
38,216,0.0245454553514719,0.3418702185153961,54.93206024169922,0.5305008292198181
39,629,0.07147727161645889,0.2833755612373352,55.13075637817383,0.5285982489585876
40,415,0.047159090638160706,0.3411882817745209,55.9244270324707,0.5182023644447327
41,547,0.06215909123420715,0.27765586972236633,55.96292495727539,0.5159199237823486
42,557,0.06329545378684998,0.3856828808784485,56.530555725097656,0.5088561177253723
43,226,0.025681817904114723,0.2613018751144409,55.501163482666016,0.5238144993782043
44,806,0.09159091114997864,0.3311742842197418,61.5067253112793,0.4477190673351288
45,462,0.05249999836087227,0.38981688022613525,55.82246780395508,0.518329381942749
46,228,0.025909090414643288,0.3089258074760437,57.1788215637207,0.49985042214393616
47,588,0.06681818515062332,0.2909347712993622,56.757389068603516,0.4984361231327057
48,470,0.053409092128276825,0.3457728624343872,58.69162368774414,0.4844178557395935
49,676,0.07681818306446075,0.2917686402797699,57.6364631652832,0.49067422747612
50,537,0.06102272868156433,0.3587597608566284,61.565162658691406,0.4430224895477295
51,238,0.02704545482993126,0.2991117238998413,55.03212356567383,0.5261883735656738
52,755,0.08579545468091965,0.3110094666481018,53.968719482421875,0.5422563552856445
53,443,0.050340909510850906,0.37265992164611816,54.14393997192383,0.5358147621154785
54,456,0.051818180829286575,0.2990734577178955,55.59137725830078,0.525360107421875
55,599,0.06806818395853043,0.34121251106262207,54.09901428222656,0.5440609455108643
56,253,0.028750000521540642,0.40884172916412354,62.20380401611328,0.43659165501594543
57,788,0.08954545110464096,0.31119605898857117,54.94053268432617,0.5372748374938965
58,499,0.05670454725623131,0.364664763212204,59.04936218261719,0.4773150384426117
