ray_idx,hit_count,hit_ratio,rmse_hit,angle_mean_deg_hit,cos_mean_hit
0,1244,0.14136363565921783,0.23272493481636047,56.346351623535156,0.5097398161888123
1,1021,0.11602272838354111,0.2148638814687729,53.04117202758789,0.5572731494903564
2,1264,0.14363636076450348,0.24458849430084229,55.912078857421875,0.5310459136962891
3,1202,0.13659091293811798,0.24710942804813385,58.82741165161133,0.48100546002388
4,877,0.09965909272432327,0.1883300095796585,60.266639709472656,0.4627632200717926
5,1370,0.1556818187236786,0.2535446584224701,57.684173583984375,0.49587517976760864
6,1146,0.13022726774215698,0.2431221902370453,59.93608093261719,0.4644307792186737
7,1173,0.1332954615354538,0.24484851956367493,55.871788024902344,0.5234094262123108
8,1213,0.13784091174602509,0.22996732592582703,59.47742462158203,0.47335225343704224
9,841,0.09556818008422852,0.1843896061182022,57.36283493041992,0.5028417706489563
10,1403,0.1594318151473999,0.24847258627414703,62.53672790527344,0.42999109625816345
11,1201,0.1364772766828537,0.2429802119731903,59.47111892700195,0.4688067138195038
12,867,0.09852273017168045,0.1771996021270752,54.04838943481445,0.5440465807914734
13,1270,0.14431817829608917,0.23123067617416382,60.68606185913086,0.45621559023857117
14,1144,0.12999999523162842,0.26642361283302307,58.00691604614258,0.49279671907424927
15,1251,0.1421590894460678,0.2707960605621338,54.01144790649414,0.5410872101783752
16,1146,0.13022726774215698,0.23698365688323975,60.84121322631836,0.45514753460884094
17,860,0.09772727638483047,0.19617195427417755,61.85554504394531,0.4412585496902466
18,1391,0.15806818008422852,0.24334897100925446,64.42841339111328,0.40048494935035706
19,1211,0.13761363923549652,0.27896735072135925,58.4550666809082,0.4824029803276062
20,1114,0.12659090757369995,0.2363537847995758,57.40562057495117,0.5013794302940369
21,1133,0.1287499964237213,0.23159116506576538,51.69630432128906,0.5766156315803528
22,869,0.09875000268220901,0.19911988079547882,60.044559478759766,0.461616575717926
23,1368,0.15545454621315002,0.29945939779281616,55.380191802978516,0.5286558866500854
24,1122,0.1274999976158142,0.2426701784133911,52.883392333984375,0.552827775478363
25,882,0.10022727400064468,0.1724565625190735,51.74836730957031,0.5808483958244324
26,1227,0.13943181931972504,0.2128993272781372,56.099876403808594,0.5133978128433228
27,1270,0.14431817829608917,0.26410672068595886,58.51993179321289,0.4848747253417969
28,1172,0.13318182528018951,0.25802379846572876,59.81668472290039,0.4669629633426666
29,1157,0.1314772665500641,0.2216416895389557,55.407249450683594,0.5219536423683167
30,873,0.09920454770326614,0.16640059649944305,57.47467041015625,0.49912869930267334
31,1418,0.16113635897636414,0.26864558458328247,54.48167037963867,0.5388103723526001
32,1156,0.1313636302947998,0.2408105432987213,60.95541000366211,0.4526095390319824
33,897,0.10193181782960892,0.17527137696743011,56.582698822021484,0.5050374269485474
34,1089,0.1237500011920929,0.23349054157733917,59.97987747192383,0.45988190174102783
35,1262,0.14340908825397491,0.27745339274406433,58.180641174316406,0.49335965514183044
36,1321,0.15011364221572876,0.31176432967185974,56.08834457397461,0.5143088102340698
37,1138,0.12931817770004272,0.22921279072761536,56.87771224975586,0.5115399956703186
38,924,0.10499999672174454,0.193121537566185,54.262447357177734,0.5373292565345764
39,1211,0.13761363923549652,0.25095292925834656,54.69045639038086,0.5294966101646423
40,1277,0.14511363208293915,0.26782381534576416,57.57861328125,0.49417823553085327
41,1204,0.13681818544864655,0.2509949803352356,56.337345123291016,0.520281195640564
42,1126,0.12795454263687134,0.2225155234336853,52.462276458740234,0.5565248727798462
43,889,0.10102272778749466,0.18796464800834656,55.63627243041992,0.5210084319114685
44,1285,0.1460227221250534,0.2664288878440857,60.2577018737793,0.463841050863266
45,1122,0.1274999976158142,0.24297522008419037,59.272308349609375,0.4788095951080322
46,962,0.10931818187236786,0.20160382986068726,61.11790084838867,0.4529326558113098
47,1084,0.12318181991577148,0.21135935187339783,56.44430160522461,0.5113475918769836
48,1309,0.14875000715255737,0.28893762826919556,56.060035705566406,0.5255247950553894
49,1200,0.13636364042758942,0.28151220083236694,55.46696090698242,0.5211991667747498
50,1179,0.1339772790670395,0.24536742269992828,56.882667541503906,0.506574273109436
51,925,0.10511363297700882,0.20093324780464172,55.091548919677734,0.5252588391304016
52,1275,0.14488635957241058,0.2608413100242615,58.626487731933594,0.48104506731033325
53,1225,0.13920454680919647,0.24438326060771942,53.66255187988281,0.5582685470581055
54,1284,0.14590908586978912,0.2816065549850464,57.59211349487305,0.49495142698287964
55,998,0.11340909451246262,0.2362852394580841,58.46577453613281,0.4872550070285797
56,1330,0.1511363685131073,0.308175653219223,57.169891357421875,0.501802921295166
57,1250,0.14204545319080353,0.3044682443141937,54.269248962402344,0.53885817527771
58,1130,0.12840908765792847,0.22671347856521606,53.794952392578125,0.5491016507148743
59,993,0.11284090578556061,0.19690844416618347,60.273658752441406,0.4571816027164459
60,1072,0.1218181848526001,0.22702527046203613,56.83939743041992,0.5020809173583984
61,1322,0.15022727847099304,0.27220791578292847,57.815738677978516,0.48725274205207825
62,1223,0.1389772742986679,0.26210999488830566,58.00397491455078,0.48635897040367126
63,1149,0.13056817650794983,0.20135089755058289,60.881996154785156,0.45389705896377563
64,938,0.10659091174602509,0.19663016498088837,58.90553665161133,0.4783657491207123
65,1136,0.12909090518951416,0.25559958815574646,55.27696228027344,0.5290838479995728
66,1171,0.13306818902492523,0.28860539197921753,54.275413513183594,0.5431414246559143
67,1398,0.1588636338710785,0.2987197935581207,56.4461784362793,0.513250470161438
68,956,0.10863636434078217,0.22763124108314514,60.2932014465332,0.4570319652557373
69,1319,0.1498863697052002,0.29968202114105225,57.71786117553711,0.495339035987854
70,1276,0.14499999582767487,0.3009960949420929,55.4257698059082,0.5297031998634338
71,1211,0.13761363923549652,0.21515338122844696,57.89483642578125,0.4918701648712158
72,1015,0.11534091085195541,0.21140043437480927,69.12659454345703,0.336414098739624
