sample_idx,hit_count,hit_ratio,rmse_hit,angle_mean_deg_hit,cos_mean_hit
0,102,0.19921875,0.11000410467386246,60.03718566894531,0.46591198444366455
1,88,0.171875,0.1014501228928566,61.022090911865234,0.452028751373291
2,144,0.28125,0.13154402375221252,58.44419479370117,0.4840599596500397
3,24,0.046875,0.329581081867218,56.53580093383789,0.5126573443412781
4,28,0.0546875,0.3138261139392853,52.99175262451172,0.5724518895149231
5,33,0.064453125,0.36016300320625305,58.47545623779297,0.4956614673137665
6,38,0.07421875,0.33270373940467834,58.41535568237305,0.4891926646232605
7,41,0.080078125,0.31968045234680176,59.77882766723633,0.47245216369628906
8,45,0.087890625,0.302984356880188,62.04718017578125,0.4312870502471924
9,47,0.091796875,0.32225531339645386,59.32845687866211,0.4688197672367096
10,44,0.0859375,0.2782835364341736,60.57502746582031,0.4473792016506195
11,208,0.40625,0.22605739533901215,54.49678039550781,0.5406579971313477
12,46,0.08984375,0.2909839451313019,57.21638870239258,0.49838247895240784
13,45,0.087890625,0.3346194922924042,58.045650482177734,0.4806681275367737
14,30,0.05859375,0.20009048283100128,59.05766296386719,0.4755377471446991
15,247,0.482421875,0.14785955846309662,57.568172454833984,0.49877479672431946
16,20,0.0390625,0.16802723705768585,60.0863151550293,0.47277599573135376
17,19,0.037109375,0.2195255309343338,53.51457595825195,0.553112268447876
18,140,0.2734375,0.15778110921382904,58.27781677246094,0.4908502995967865
19,160,0.3125,0.1492103785276413,57.670654296875,0.5001810789108276
20,121,0.236328125,0.16500122845172882,56.934017181396484,0.5076250433921814
21,69,0.134765625,0.20310762524604797,53.08662796020508,0.5601316094398499
22,62,0.12109375,0.21164759993553162,51.63039779663086,0.5760211944580078
23,46,0.08984375,0.24644213914871216,49.951820373535156,0.6050156950950623
24,45,0.087890625,0.31748494505882263,54.32845687866211,0.5457876324653625
25,43,0.083984375,0.31770843267440796,51.41071701049805,0.582069993019104
26,49,0.095703125,0.2673355042934418,53.22496795654297,0.5576402544975281
27,41,0.080078125,0.3285103738307953,53.64037322998047,0.5547047257423401
28,37,0.072265625,0.3779187798500061,57.04443359375,0.5078091621398926
29,35,0.068359375,0.37195345759391785,54.88096618652344,0.5351613759994507
30,35,0.068359375,0.41703739762306213,53.6904411315918,0.5439068078994751
31,39,0.076171875,0.3720400929450989,50.460025787353516,0.594967782497406
32,42,0.08203125,0.3628125488758087,54.599830627441406,0.5388823747634888
33,45,0.087890625,0.34799546003341675,56.21079635620117,0.5204566717147827
34,49,0.095703125,0.25502249598503113,57.21855545043945,0.5052986145019531
35,45,0.087890625,0.31347739696502686,58.08150863647461,0.49456241726875305
36,43,0.083984375,0.3796493411064148,55.223392486572266,0.536771297454834
37,41,0.080078125,0.3488929569721222,55.46151351928711,0.5375556945800781
38,49,0.095703125,0.2929397523403168,55.65031051635742,0.5350086092948914
39,38,0.07421875,0.4292290508747101,55.3963623046875,0.5375906229019165
40,126,0.24609375,0.23496025800704956,54.441741943359375,0.5364667177200317
41,87,0.169921875,0.24828147888183594,56.65984344482422,0.509743869304657
42,79,0.154296875,0.2734178900718689,53.06019973754883,0.5583683848381042
43,80,0.15625,0.2767382264137268,54.08522415161133,0.5380889177322388
44,78,0.15234375,0.2842850089073181,56.422813415527344,0.5039164423942566
45,84,0.1640625,0.23320719599723816,56.765769958496094,0.5050668716430664
46,50,0.09765625,0.263471394777298,57.76572799682617,0.4924953579902649
47,93,0.181640625,0.22788865864276886,55.79907989501953,0.520544171333313
48,77,0.150390625,0.23822595179080963,56.78977966308594,0.5067707896232605
49,103,0.201171875,0.21802431344985962,55.79786682128906,0.5187692046165466
50,135,0.263671875,0.2491341233253479,54.52177429199219,0.5326491594314575
51,119,0.232421875,0.22736072540283203,55.3100471496582,0.5230178833007812
52,137,0.267578125,0.22047674655914307,55.68233871459961,0.516230046749115
53,107,0.208984375,0.2590121328830719,55.124671936035156,0.5297567248344421
54,128,0.25,0.25529736280441284,53.7889518737793,0.5448969006538391
55,170,0.33203125,0.24454565346240997,54.96736526489258,0.5273053050041199
56,225,0.439453125,0.20678026974201202,55.29210662841797,0.5254622101783752
57,21,0.041015625,0.5713632106781006,57.22858428955078,0.510496199131012
58,137,0.267578125,0.24351559579372406,53.197200775146484,0.5471323728561401
59,92,0.1796875,0.26421335339546204,56.825130462646484,0.4987197518348694
60,221,0.431640625,0.22065560519695282,55.524749755859375,0.5168808698654175
61,127,0.248046875,0.23801428079605103,53.9786491394043,0.539640486240387
62,166,0.32421875,0.21908989548683167,54.766990661621094,0.5269203782081604
63,138,0.26953125,0.24153822660446167,54.95549392700195,0.5288371443748474
64,93,0.181640625,0.2728082537651062,57.12781524658203,0.5014833807945251
65,157,0.306640625,0.239057257771492,55.20604705810547,0.5258384943008423
66,168,0.328125,0.22540369629859924,55.65543746948242,0.5202537178993225
67,105,0.205078125,0.2570762038230896,56.95647430419922,0.49643075466156006
68,74,0.14453125,0.27340227365493774,57.202354431152344,0.506399929523468
69,84,0.1640625,0.25995633006095886,59.307804107666016,0.47044432163238525
70,102,0.19921875,0.27193483710289,57.7600212097168,0.49385976791381836
71,71,0.138671875,0.2861257791519165,57.86760711669922,0.4953816831111908
72,59,0.115234375,0.29953497648239136,59.51936340332031,0.47444427013397217
73,43,0.083984375,0.30615657567977905,61.67097854614258,0.4397293031215668
74,39,0.076171875,0.31018075346946716,58.44409942626953,0.484789103269577
75,35,0.068359375,0.33259111642837524,58.78983688354492,0.4898587763309479
76,36,0.0703125,0.30318641662597656,55.80394744873047,0.5224539637565613
77,34,0.06640625,0.3103000521659851,57.36193084716797,0.5030093193054199
78,64,0.125,0.29602840542793274,61.3211669921875,0.44333240389823914
79,70,0.13671875,0.32281798124313354,59.273284912109375,0.47975245118141174
80,206,0.40234375,0.13700053095817566,56.70465087890625,0.5132764577865601
81,177,0.345703125,0.12097307294607162,56.19077682495117,0.5232850909233093
82,221,0.431640625,0.12994471192359924,55.753074645996094,0.5270081758499146
83,31,0.060546875,0.32842493057250977,52.155574798583984,0.5682297945022583
84,39,0.076171875,0.2843301594257355,51.88796615600586,0.5658262968063354
85,38,0.07421875,0.31565549969673157,55.14763259887695,0.5184970498085022
86,38,0.07421875,0.3139664828777313,55.32216262817383,0.5211830735206604
87,48,0.09375,0.2850259244441986,54.35951614379883,0.5320846438407898
88,45,0.087890625,0.2705238163471222,61.54383087158203,0.4283841848373413
89,46,0.08984375,0.27126210927963257,63.666770935058594,0.4018777906894684
90,47,0.091796875,0.24107924103736877,59.01152038574219,0.47432515025138855
91,49,0.095703125,0.2548891603946686,59.74419021606445,0.4647481441497803
92,276,0.5390625,0.1407860666513443,54.62130355834961,0.5342375636100769
93,230,0.44921875,0.13063955307006836,54.94243240356445,0.534411609172821
94,136,0.265625,0.13072077929973602,55.62073516845703,0.5248631238937378
95,106,0.20703125,0.1144823431968689,56.500083923339844,0.5109014511108398
96,98,0.19140625,0.11146467924118042,57.48575973510742,0.4980531930923462
97,107,0.208984375,0.10993749648332596,57.67634582519531,0.4926846921443939
98,203,0.396484375,0.1320607215166092,56.12028121948242,0.5148665904998779
99,29,0.056640625,0.27183622121810913,59.193878173828125,0.4719250798225403
100,121,0.236328125,0.12122266739606857,56.088382720947266,0.5181036591529846
101,106,0.20703125,0.11351004987955093,56.365352630615234,0.511023223400116
102,177,0.345703125,0.13501513004302979,56.069297790527344,0.5155062675476074
103,257,0.501953125,0.1395563930273056,56.44035339355469,0.5117447376251221
104,112,0.21875,0.13102635741233826,58.13065719604492,0.4929036498069763
105,64,0.125,0.18936580419540405,62.736717224121094,0.4237883687019348
106,70,0.13671875,0.16872376203536987,57.95733642578125,0.4959467649459839
107,65,0.126953125,0.20133358240127563,57.24043655395508,0.5044482946395874
108,91,0.177734375,0.14941208064556122,59.55417251586914,0.4654849171638489
109,155,0.302734375,0.13212107121944427,57.33987045288086,0.5018819570541382
110,255,0.498046875,0.11298179626464844,55.52604293823242,0.5237085819244385
111,72,0.140625,0.13520611822605133,58.25291442871094,0.484824538230896
112,52,0.1015625,0.13897888362407684,58.86775207519531,0.47536441683769226
113,49,0.095703125,0.16529633104801178,57.378055572509766,0.49064868688583374
114,44,0.0859375,0.1752631962299347,56.50871658325195,0.5114486217498779
115,56,0.109375,0.17072200775146484,55.43239212036133,0.5183774828910828
116,52,0.1015625,0.15266282856464386,55.34484100341797,0.5216969847679138
117,58,0.11328125,0.11458104848861694,52.46431350708008,0.5622126460075378
118,53,0.103515625,0.12311484664678574,54.69296646118164,0.5334475636482239
119,91,0.177734375,0.13564930856227875,53.233375549316406,0.5467819571495056
120,49,0.095703125,0.1791575700044632,55.469886779785156,0.5236970782279968
121,56,0.109375,0.14925536513328552,56.1347770690918,0.5085643529891968
122,115,0.224609375,0.15582798421382904,55.69939422607422,0.5226320624351501
123,166,0.32421875,0.1676998883485794,55.038333892822266,0.5302671194076538
124,228,0.4453125,0.16428031027317047,54.65548324584961,0.5370067954063416
125,155,0.302734375,0.15855614840984344,55.78579330444336,0.5197932124137878
126,129,0.251953125,0.14200998842716217,54.44939041137695,0.531293511390686
127,144,0.28125,0.15431465208530426,53.53241729736328,0.5490336418151855
128,109,0.212890625,0.1510017365217209,52.697479248046875,0.563521683216095
129,99,0.193359375,0.17581380903720856,54.313987731933594,0.5453009009361267
130,84,0.1640625,0.17968560755252838,53.19535827636719,0.5530270934104919
131,74,0.14453125,0.20948275923728943,54.60169982910156,0.5330392718315125
132,72,0.140625,0.2129921168088913,53.6838493347168,0.5485213398933411
133,73,0.142578125,0.2084871381521225,54.59904861450195,0.5353947281837463
134,76,0.1484375,0.21568086743354797,54.264320373535156,0.541215181350708
135,71,0.138671875,0.2546195685863495,54.42871856689453,0.5403208136558533
136,76,0.1484375,0.2337512969970703,52.291526794433594,0.5669565200805664
137,68,0.1328125,0.2670770287513733,57.13236999511719,0.5042128562927246
138,63,0.123046875,0.2968025207519531,58.56560134887695,0.4895736575126648
139,58,0.11328125,0.3123871684074402,56.90839767456055,0.5107365846633911
140,60,0.1171875,0.29322969913482666,55.63557815551758,0.5264075398445129
141,56,0.109375,0.2930366098880768,55.92965316772461,0.5273371934890747
142,60,0.1171875,0.29150936007499695,53.40716552734375,0.5568925738334656
143,52,0.1015625,0.3013474643230438,57.656654357910156,0.4941832721233368
144,51,0.099609375,0.3123205900192261,61.1727409362793,0.4440302848815918
145,47,0.091796875,0.31196314096450806,56.77668762207031,0.5219717621803284
146,52,0.1015625,0.31658226251602173,59.10160446166992,0.48032504320144653
147,48,0.09375,0.3377499282360077,56.75035095214844,0.5155888199806213
148,50,0.09765625,0.3359890282154083,55.36250305175781,0.529263436794281
149,53,0.103515625,0.3281136155128479,55.73926544189453,0.5187382698059082
150,57,0.111328125,0.2898764908313751,53.59223937988281,0.5536880493164062
151,54,0.10546875,0.33379748463630676,52.27360153198242,0.5639870762825012
152,52,0.1015625,0.3064478933811188,53.959354400634766,0.5419229865074158
153,54,0.10546875,0.29055055975914,55.12137222290039,0.5306162238121033
154,48,0.09375,0.28986507654190063,54.091827392578125,0.5361688733100891
155,48,0.09375,0.26784804463386536,56.20521545410156,0.5121541619300842
156,48,0.09375,0.2745603919029236,51.45497512817383,0.5726127624511719
157,48,0.09375,0.25811147689819336,52.72174072265625,0.5507370829582214
158,52,0.1015625,0.24276739358901978,53.59499740600586,0.5430747270584106
159,58,0.11328125,0.23870712518692017,53.189815521240234,0.5520182251930237
160,82,0.16015625,0.19198134541511536,60.69667053222656,0.44999879598617554
161,100,0.1953125,0.20104597508907318,59.55223083496094,0.477080374956131
162,78,0.15234375,0.15275008976459503,61.167179107666016,0.44909507036209106
163,85,0.166015625,0.18700909614562988,58.12882995605469,0.4941929876804352
164,99,0.193359375,0.1900475025177002,61.68292236328125,0.43558773398399353
165,118,0.23046875,0.21636240184307098,59.38391876220703,0.4645867943763733
166,83,0.162109375,0.24957062304019928,55.22282791137695,0.5229081511497498
167,70,0.13671875,0.3168841600418091,55.45659255981445,0.5165549516677856
168,66,0.12890625,0.32599157094955444,53.7863883972168,0.5402882099151611
169,63,0.123046875,0.3153812885284424,53.88882064819336,0.5379337668418884
170,91,0.177734375,0.2917563319206238,55.55989074707031,0.5117594003677368
171,68,0.1328125,0.339409738779068,56.775184631347656,0.5054085850715637
172,56,0.109375,0.3373447060585022,52.68635940551758,0.5563031435012817
173,57,0.111328125,0.34837237000465393,51.11436462402344,0.5764011144638062
174,54,0.10546875,0.32753342390060425,51.69526672363281,0.5659740567207336
175,50,0.09765625,0.3538888096809387,53.283382415771484,0.5459680557250977
176,50,0.09765625,0.33340415358543396,50.90183639526367,0.588947057723999
177,60,0.1171875,0.30296552181243896,54.41697311401367,0.5347394347190857
178,50,0.09765625,0.2975289821624756,55.290645599365234,0.5210779905319214
179,55,0.107421875,0.28801512718200684,56.694461822509766,0.5093260407447815
180,62,0.12109375,0.31178173422813416,58.56074523925781,0.4833287000656128
181,64,0.125,0.3162810206413269,55.76688766479492,0.5215903520584106
182,63,0.123046875,0.3531140387058258,59.55820083618164,0.4720247685909271
183,56,0.109375,0.3696989119052887,58.680118560791016,0.4773840010166168
184,50,0.09765625,0.3984672427177429,54.560203552246094,0.5369598865509033
185,55,0.107421875,0.3805648684501648,58.628196716308594,0.48285341262817383
186,47,0.091796875,0.3917493224143982,55.698944091796875,0.5250648856163025
187,57,0.111328125,0.371095210313797,56.02840042114258,0.5261052250862122
188,42,0.08203125,0.46248018741607666,54.126976013183594,0.5446872115135193
189,43,0.083984375,0.41419658064842224,54.67958068847656,0.5253934264183044
190,42,0.08203125,0.4018291234970093,53.71830368041992,0.5493078827857971
191,45,0.087890625,0.4345182180404663,54.80187225341797,0.5313295722007751
192,52,0.1015625,0.39829254150390625,55.73176956176758,0.5240553617477417
193,48,0.09375,0.37661489844322205,56.3846549987793,0.510217547416687
194,47,0.091796875,0.4654814600944519,57.349239349365234,0.4992491602897644
195,49,0.095703125,0.4130510091781616,55.342891693115234,0.5223618149757385
196,56,0.109375,0.40217557549476624,58.44324493408203,0.4831361770629883
197,56,0.109375,0.40360507369041443,57.01202392578125,0.4922609329223633
198,61,0.119140625,0.3466049134731293,57.02241134643555,0.5064796209335327
199,51,0.099609375,0.38204795122146606,58.334678649902344,0.48607417941093445
200,243,0.474609375,0.13027063012123108,58.67751693725586,0.4798976182937622
201,246,0.48046875,0.12173972278833389,57.57632064819336,0.495450884103775
202,257,0.501953125,0.11011674255132675,58.375083923339844,0.4868725538253784
203,255,0.498046875,0.10865358263254166,59.1838493347168,0.477292537689209
204,253,0.494140625,0.12195739150047302,58.08869171142578,0.4914798438549042
205,27,0.052734375,0.36185353994369507,61.765010833740234,0.45735451579093933
206,253,0.494140625,0.0991087406873703,58.808021545410156,0.4798203110694885
207,254,0.49609375,0.10603915899991989,59.506954193115234,0.47205522656440735
208,241,0.470703125,0.1274741291999817,59.808502197265625,0.4653453528881073
209,209,0.408203125,0.14621302485466003,59.01598358154297,0.47342556715011597
210,234,0.45703125,0.13386847078800201,59.00217056274414,0.4741573929786682
211,238,0.46484375,0.12260542064905167,59.568748474121094,0.4638802409172058
212,225,0.439453125,0.13111424446105957,58.48151779174805,0.4798744022846222
213,220,0.4296875,0.12093879282474518,60.06352996826172,0.4591318666934967
214,243,0.474609375,0.10451161116361618,58.614891052246094,0.48138391971588135
215,230,0.44921875,0.11684562265872955,57.59455108642578,0.497654527425766
216,231,0.451171875,0.11343994736671448,57.94607925415039,0.4907236695289612
